Country,Last,Date,Previous,Highest,Lowest
Bhutan,50,Dec-18,50,50,50
Hungary,27,Dec-18,27,27,20
Croatia,25,Dec-18,25,25,22
Denmark,25,Dec-18,25,25,25
Norway,25,Dec-18,25,25,25
Sweden,25,Dec-18,25,25,25
Finland,24,Dec-18,24,24,22
Greece,24,Dec-18,24,24,18
Iceland,24,Dec-18,24,25.5,24
Ireland,23,Dec-18,23,23,20
Poland,23,Dec-18,23,23,22
Portugal,23,Dec-18,23,23,17
Italy,22,Dec-18,22,22,20
Slovenia,22,Dec-18,22,22,19
Uruguay,22,Dec-18,22,23,22
European Union,21.5,Dec-18,21.5,21.6,13.63
Argentina,21,Dec-18,21,21,21
Belgium,21,Dec-18,21,21,21
Czech Republic,21,Dec-18,21,22,19
Latvia,21,Dec-18,21,22,18
Lithuania,21,Dec-18,21,21,18
Montenegro,21,Dec-18,19,21,17
Netherlands,21,Dec-18,21,21,17.5
Spain,21,Dec-18,21,21,16
Euro Area,20.8,Dec-18,20.8,20.8,13.5
Albania,20,Dec-18,20,20,20
Armenia,20,Dec-18,20,20,20
Austria,20,Dec-18,20,20,20
Belarus,20,Dec-18,20,20,18
Bulgaria,20,Dec-18,20,20,20
Cuba,20,Dec-18,20,20,20
Estonia,20,Dec-18,20,20,18
France,20,Dec-18,20,20,19.6
Isle Of Man,20,Dec-18,20,20,20
Madagascar,20,Dec-18,20,21,20
Moldova,20,Dec-18,20,20,20
Monaco,20,Dec-18,20,20,19.6
Morocco,20,Dec-18,20,20,20
Serbia,20,Dec-18,20,20,18
Slovakia,20,Dec-18,20,23,19
Ukraine,20,Dec-18,20,20,20
United Kingdom,20,Dec-18,20,20,8
Uzbekistan,20,Dec-18,20,20,20
Cameroon,19.25,Dec-18,19.25,19.25,19.25
Algeria,19,Dec-18,19,19,17
Central African Republic,19,Dec-18,19,19,19
Chile,19,Dec-18,19,19,19
Colombia,19,Dec-18,19,19,16
Cyprus,19,Dec-18,19,19,10
Germany,19,Dec-18,19,19,16
Niger,19,Dec-18,19,19,18
Romania,19,Dec-18,19,24,19
Azerbaijan,18,Dec-18,18,18,18
Benin,18,Dec-18,18,18,18
Burkina Faso,18,Dec-18,18,18,18
Burundi,18,Dec-18,18,18,18
Chad,18,Dec-18,18,18,18
Dominican Republic,18,Dec-18,18,18,16
Gabon,18,Dec-18,18,18,18
Georgia,18,Dec-18,18,18,18
Guinea,18,Dec-18,18,20,18
India,18,Dec-18,18,18,12.36
Ivory Coast,18,Dec-18,18,18,18
Kosovo,18,Dec-18,18,18,15
Macedonia,18,Dec-18,18,18,18
Mali,18,Dec-18,18,18,18
Malta,18,Dec-18,18,18,15
Peru,18,Dec-18,18,19,18
Republic of the Congo,18,Dec-18,18,18,18
Russia,18,Dec-18,18,18,18
Rwanda,18,Dec-18,18,18,18
Senegal,18,Dec-18,18,18,18
Tajikistan,18,Dec-18,18,18,18
Tanzania,18,Dec-18,18,20,18
Togo,18,Dec-18,18,18,18
Tunisia,18,Dec-18,18,18,18
Turkey,18,Dec-18,18,18,18
Uganda,18,Dec-18,18,18,18
Barbados,17.5,Dec-18,17.5,17.5,15
Bosnia and Herzegovina,17,Dec-18,17,17,17
Brazil,17,Dec-18,17,17,17
China,17,Dec-18,17,17,17
Israel,17,Dec-18,17,18,15.5
Luxembourg,17,Dec-18,17,17,15
Mozambique,17,Dec-18,17,17,17
Pakistan,17,Dec-18,17,17,15
Sudan,17,Dec-18,17,17,10
Jamaica,16.5,Dec-18,16.5,17.5,16.5
Malawi,16.5,Dec-18,16.5,16.5,16.5
Congo,16,Dec-18,16,16,13
Jordan,16,Dec-18,16,16,16
Kenya,16,Dec-18,16,16,16
Mauritania,16,Dec-18,16,18,16
Mexico,16,Dec-18,16,16,15
Zambia,16,Dec-18,16,17.5,16
Antigua And Barbuda,15,Dec-18,15,15,15
Bangladesh,15,Dec-18,15,15,15
Cape Verde,15,Dec-18,15,15,15
